Tweet,Stock_value,Stock_actual,Time_tweet
"[['for', 'some', 'but', 'not', 'for', 'the', 'system', 'they', 'dont', 'need', 'it', 'you', 'are', 'fitting', 'a', 'square', 'peg', 'into', 'a', 'round', 'hole']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['possible', 'but', 'ive', 'yet', 'to', 'ever', 'see', 'a', 'store', 'of', 'value', 'increase', 'like', 'this', 'without', 'a', 'collapse', 'and', 'then', 'a', 'return', 'to', 'lower', 'volatility']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['the', 'issue', 'really', 'is', 'that', 'the', 'key', 'players', 'in', 'the', 'financial', 'system', 'not', 'just', 'banks', 'but', 'all', 'f']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['i', 'understand', 'that', 'entirely', 'but', 'what', 'the', 'financial', 'system', 'wants', 'versus', 'what', 'bitcoin', 'offers']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[['thanks']],2587.55714286,2587.77142857,"[13, 30, 0]"
"[['opec', 'sees', 'oil', 'market', 'rebalancing', 'at', 'the', 'earliest', 'in', 'q']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['sign', 'up', 'to', 'receive', 'a', 'free', 'daily', 'digest', 'of', 'best', 'in', 'energy', 'news', 'my', 'research', 'notes', 'by', 'emailing', 'john', 'kemp']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['trade', 'winds', 'are', 'stronger', 'than', 'normal', 'which', 'is', 'also', 'typical', 'of', 'ocean', 'atmosphere', 'coupling', 'present', 'in', 'la', 'ni', 'a']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['tongue', 'of', 'cold', 'water', 'stretching', 'from', 'peru', 'almost', 'to', 'the', 'dateline', 'is', 'characteristic', 'of', 'la', 'ni', 'a']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['sea', 'surface', 'temps', 'off', 'the', 'coast', 'of', 'peru', 'remain', 'c', 'below', 'seasonal', 'average', 'which', 'suggests', 'la', 'nina', 'conditions', 'could']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['central', 'eastern', 'pacific', 'sea', 'surface', 'temperatures', 'warmed', 'slightly', 'last', 'week', 'c', 'but', 'still', 'below', 'seasonal', 'norm']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['la', 'nina', 'conditions', 'persisted', 'in', 'central', 'eastern', 'pacific', 'last', 'week', 'with', 'sea', 'surface', 'temps', 'c', 'below', 'the', 'seasonal', 'a']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['u', 's', 'shale', 'producers', 'renew', 'challenge', 'to', 'opec']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['brexit', 'has', 'revealed', 'a', 'deep', 'cultural', 'divide', 'in', 'britain', 'which', 'is', 'not', 'closing']]",,,"[18, 12, 33]"
"[['sign', 'up', 'to', 'receive', 'a', 'free', 'daily', 'digest', 'of', 'best', 'in', 'energy', 'news', 'my', 'research', 'notes', 'by', 'emailing', 'john', 'kemp']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'ireland', 'attests', 'to', 'a', 'much', 'wider', 'problem', 'in', 'uk', 'media', 'inability', 'to', 'try', 'to', 'understand', 'the', 'other', 'a', 'morb']]",2587.55714286,2587.77142857,"[13, 30, 0]"
